key,es,en,montaner_verse
poem.v20,"«Dios, qué buen vassallo, si oviesse buen señor»","God, what a good vassal, if he had a good lord",20
poem.v264,"«Como la uña de la carne»","Like the nail from the flesh",264
poem.v406,"«Mientra que visquiéredes bien se fará lo to»","While you live you will succeed",406
mesnada.plant_banner,Plantar pendón,Plant banner,
mesnada.follow_cid,La mesnada sigue al Cid,The mesnada follows the Cid,
mesnada.wedge_form,La mesnada forma la cuña,The mesnada forms the wedge,
mesnada.order_charge,¡Cargad!,Charge,
mesnada.order_hold,¡Tened!,Hold,
mesnada.order_flee,Huid,Flee,
mesnada.lanzas,lanzas,lanzas,
